,PID,Label,Description,Relevant
378,P642,of,"(being deprecated, find alternatives at WD: P642) qualifier stating that a statement applies within the scope of a particular item",no
379,P644,genomic start,genomic starting coordinate of the biological sequence (e.g. a gene),no
380,P645,genomic end,genomic ending coordinate of the biological sequence (e.g. a gene),no
381,P646,Freebase ID,"identifier for a page in the Freebase database. Format: ""/m/0"" followed by 2 to 7 characters...",no
382,P647,drafted by,which team the player was drafted by,yes
383,P648,Open Library ID,"identifier for a work (""W""), edition (""M"") or author (""A"") for book data of the Internet Archive",no
384,P649,NRHP reference number,identifier in the National Register of Historic Places assigned by the National Park Service...,no
385,P650,RKDartists ID,identifier in the RKDartists database (Rijksbureau voor Kunsthistorische Documentatie),yes
386,P651,Biografisch Portaal van Nederland ID,identifier at Biografisch Portaal van Nederland,yes
387,P652,UNII,identifier issued by the FDA / Unique Ingredient Identifier,no
388,P653,PubMed Health,"identifier for a physiological condition, in the PubMed Health website",no
389,P654,direction relative to location,qualifier for geographical locations to express relative cardinal direction from...,no
390,P655,translator,agent who adapts any kind of written text from one language to another,yes
391,P656,RefSeq,qualifier to specify Reference Sequence identifier for the Protein and RNA (either p637 or p639),no
392,P657,RTECS number,chemical identifier from the Registry of Toxic Effects of Chemical Substances,no
393,P658,tracklist,audio tracks contained in this release,yes
394,P659,genomic assembly,specifies the genome assembly on which the feature is placed,no
395,P660,EC enzyme classification,the Enzyme Commission (EC)-based accepted name of any enzyme classifications of the protein or RNA molecule,no
396,P661,ChemSpider ID,"identifier in a free chemical database, owned by the Royal Society of Chemistry",no
397,P662,PubChem CID,identifier from database of chemical molecules and their activities in biological assays (Compound ID number),no
398,P663,DSM-IV classification,identifier for a mental disorder in the 4th edition of Diagnostic and Statistical Manual of Mental Disorders,no
399,P664,organizer,person or institution organizing an event,yes
400,P665,KEGG ID,"identifier from databases dealing with genomes, enzymatic pathways, and biological chemicals",no
401,P667,ICPC 2 ID,classification method for primary care encounters,no
402,P668,GeneReviews ID,collection of peer-reviewed articles that describe specific gene-related diseases,no
403,P669,located on street,"street, road, or square, where the item is located. To add the number, use Property: P670 ""house number"" as qualifier. Use property P6375 ""street address"", if there is no item for the street",no
404,P670,house number,"number in the street address. To be used as a qualifier of Property: P669 ""located on street""",no
405,P671,Mouse Genome Informatics ID,identifier for a gene in the Mouse Genome Informatics database,no
406,P672,MeSH tree code,"Medical Subject Headings (MeSH) codes are an index and thesaurus for the life sciences (≠ MeSH ID, P486)",no
407,P673,eMedicine ID,identifier in the online clinical medical knowledge base,no
408,P674,characters,"characters which appear in this item (like plays, operas, operettas, books, comics, films, TV series, video games)",yes
409,P675,Google Books ID,identifier for a book edition in Google Books,no
410,P676,lyricist,author of song lyrics,yes
411,P677,ÚSOP code,"identifier in drusop.nature.cz, the Czech national database of protected areas and trees",no
412,P678,incertae sedis,qualifier for P171 (parent taxon) to mark which intermediate ranks are incertae sedis,no
413,P679,ZVG number,identifier of GESTIS database of the Institute for Occupational Safety and Health,no
414,P680,molecular function,represents gene ontology function annotations,no
415,P681,cell component,component of the cell in which this item is present,no
416,P682,biological process,is involved in the biological process,no
417,P683,ChEBI ID,identifier from database and ontology of molecular entities focused on 'small' chemical compounds,no
418,P684,ortholog,orthologous gene in another species (use with 'species' qualifier),no
419,P685,NCBI taxonomy ID,identifier for a taxon in the Taxonomy Database by the National Center for Biotechnology Information,no
420,P686,Gene Ontology ID,identifier in the Gene Ontology,no
421,P687,BHL page ID,identifier for a page in the Biodiversity Heritage Library (BHL),no
422,P688,encodes,the product of a gene (protein or RNA),no
423,P689,afflicts,"type of organism which a condition or disease afflicts (for an organ affected by a condition, use P927)",no
424,P690,space group,symmetry classification for 2 and 3 dimensional patterns or crystals,no
425,P691,NL CR AUT ID,identifier in the Czech National Authority Database of National Library of the Czech Republic (NL CR),no
426,P692,Gene Atlas image,image showing the GeneAtlas expression pattern,no
427,P693,cleavage,way that crystalline materials cleave,no
428,P694,replaced synonym (for nom. nov.),"previously published name on which a replacement name (avowed substitute, nomen novum) is based",no
429,P695,UN number,four-digit number that identify hazardous substances and articles in the framework of international transport,no
430,P696,Interlex ID,identifier in the Interlex database (used to be Neurolex),no
431,P697,ex taxon author,"person( s) whom the author( s) of a name credited for the idea, followed in an author citation by ""ex""  (via P405)",no
432,P698,PubMed publication ID,identifier for journal articles/abstracts in PubMed,no
